year,month,rank_GPA,nstocks,ret_vw
1970,2,3,151,7.8654
1970,2,4,163,4.8085
1970,2,5,181,8.4364
1970,2,6,173,7.1014
1970,2,7,188,3.0870
1970,2,8,169,3.9924
1970,2,9,183,4.2358
1970,2,10,180,2.7934
1970,3,1,141,1.6023
1970,3,2,135,1.5126
1970,3,3,151,-0.2338
1970,3,4,163,1.2394
1970,3,5,182,0.7632
1970,3,6,174,2.2853
1970,3,7,188,-0.3966
1970,3,8,170,-1.0401
1970,3,9,183,-2.2883
1970,3,10,181,-2.5925
1970,4,1,141,-9.0402
1970,4,2,134,-11.4354
1970,4,3,151,-8.8965
1970,4,4,163,-9.2231
1970,4,5,182,-10.1501
1970,4,6,174,-9.7910
1970,4,7,188,-9.4431
1970,4,8,170,-10.7507
1970,4,9,182,-10.7534
1970,4,10,181,-10.4738
1970,5,1,140,-5.7715
1970,5,2,134,-5.4589
1970,5,3,151,-3.8649
1970,5,4,163,-1.2442
1970,5,5,182,-5.4567
1970,5,6,174,-6.0791
1970,5,7,188,-7.7771
1970,5,8,168,-9.1402
1970,5,9,182,-9.2403
1970,5,10,181,-6.7368
1970,6,1,139,-7.0381
1970,6,2,133,-5.4200
1970,6,3,151,-6.5927
1970,6,4,163,-4.1982
1970,6,5,181,-3.1604
1970,6,6,174,-4.2101
1970,6,7,186,-6.9125
1970,6,8,168,-3.7858
1970,6,9,181,-4.8390
1970,6,10,181,-5.5966
1970,7,1,154,7.4922
1970,7,2,134,9.0113
1970,7,3,175,9.7788
1970,7,4,179,10.8489
1970,7,5,206,9.2569
1970,7,6,173,5.8856
1970,7,7,200,7.8731
1970,7,8,202,6.5923
1970,7,9,184,7.8209
1970,7,10,201,2.5811
1970,8,1,154,3.4128
1970,8,2,134,5.7993
1970,8,3,173,3.5500
1970,8,4,179,6.6247
1970,8,5,206,6.7133
1970,8,6,172,6.0351
1970,8,7,199,7.3923
1970,8,8,202,4.4223
1970,8,9,184,3.4896
1970,8,10,201,4.2591
1970,9,1,153,3.1426
1970,9,2,134,0.8423
1970,9,3,173,2.5443
1970,9,4,179,4.3103
1970,9,5,205,2.7708
1970,9,6,172,5.3942
1970,9,7,198,2.8633
1970,9,8,200,5.1055
1970,9,9,184,5.1345
1970,9,10,201,8.9297
1970,10,1,152,-2.0145
1970,10,2,134,-2.3721
1970,10,3,172,-1.6574
1970,10,4,179,-1.3916
1970,10,5,205,-1.9962
1970,10,6,172,-2.0864
1970,10,7,199,-3.0688
1970,10,8,200,-2.6340
1970,10,9,184,0.5764
1970,10,10,201,0.3553
1970,11,1,152,8.3307
1970,11,2,134,7.2274
1970,11,3,172,4.7483
1970,11,4,178,3.6824
1970,11,5,204,4.3208
1970,11,6,171,4.6426
1970,11,7,198,5.8271
1970,11,8,200,6.4707
1970,11,9,184,4.4300
