year,month,rank_Fq_12,nstocks,ret_vw
1994,9,6,1345,-2.3786
1994,9,7,644,-2.3939
1994,10,1,1029,-0.2109
1994,10,2,1302,1.1814
1994,10,3,1841,1.3848
1994,10,4,1885,2.2738
1994,10,5,1702,1.9745
1994,10,6,1224,3.0383
1994,10,7,569,1.8383
1994,11,1,1135,-4.0414
1994,11,2,1459,-2.9214
1994,11,3,2031,-2.6721
1994,11,4,2069,-3.1704
1994,11,5,1876,-4.1668
1994,11,6,1365,-3.9283
1994,11,7,654,-4.0684
1994,12,1,1148,-0.7253
1994,12,2,1454,0.7869
1994,12,3,2032,0.3285
1994,12,4,2078,0.9736
1994,12,5,1889,1.6419
1994,12,6,1365,1.1793
1994,12,7,656,1.7494
1995,1,1,1035,1.4935
1995,1,2,1333,1.3690
1995,1,3,1887,2.2020
1995,1,4,1907,1.5538
1995,1,5,1725,1.2136
1995,1,6,1230,1.5686
1995,1,7,588,2.0964
1995,2,1,1130,3.4650
1995,2,2,1481,3.0691
1995,2,3,2081,4.0056
1995,2,4,2081,3.8027
1995,2,5,1893,4.4334
1995,2,6,1357,3.7309
1995,2,7,664,4.1637
1995,3,1,1127,4.4202
1995,3,2,1491,3.2784
1995,3,3,2078,3.2575
1995,3,4,2084,3.4138
1995,3,5,1889,3.0509
1995,3,6,1367,3.0724
1995,3,7,667,3.6647
1995,4,1,1042,0.2805
1995,4,2,1359,1.9796
1995,4,3,1922,2.6064
1995,4,4,1886,2.6816
1995,4,5,1755,2.8071
1995,4,6,1232,3.2376
1995,4,7,590,2.6656
1995,5,1,1147,1.0464
1995,5,2,1528,3.5589
1995,5,3,2111,2.2288
1995,5,4,2113,3.1520
1995,5,5,1944,2.3965
1995,5,6,1400,2.3235
1995,5,7,680,2.0108
1995,6,1,1138,5.6702
1995,6,2,1528,4.7775
1995,6,3,2110,3.9696
1995,6,4,2112,3.3960
1995,6,5,1954,3.4981
1995,6,6,1404,3.4376
1995,6,7,678,3.4065
1995,7,1,1012,3.9298
1995,7,2,1377,4.4014
1995,7,3,1908,3.4971
1995,7,4,1903,3.9708
1995,7,5,1744,4.3449
1995,7,6,1271,4.9841
1995,7,7,601,4.2529
1995,8,1,1149,1.1554
1995,8,2,1583,-0.0593
1995,8,3,2103,0.7811
1995,8,4,2123,-0.0150
1995,8,5,1945,0.5746
1995,8,6,1391,0.1534
1995,8,7,668,-0.3343
1995,9,1,1169,1.6615
1995,9,2,1589,2.4070
1995,9,3,2106,4.2132
1995,9,4,2115,4.5727
1995,9,5,1939,3.0007
1995,9,6,1391,2.7475
1995,9,7,668,0.6227
1995,10,1,1059,-5.1157
1995,10,2,1446,-4.3080
1995,10,3,1920,-1.4767
1995,10,4,1930,-1.2427
1995,10,5,1789,-1.0182
1995,10,6,1294,0.5038
1995,10,7,615,-1.7658
1995,11,1,1196,6.1830
1995,11,2,1650,4.0948
1995,11,3,2121,3.6969
1995,11,4,2161,3.8316
1995,11,5,1957,3.7328
1995,11,6,1427,3.9555
1995,11,7,678,4.8367
1995,12,1,1202,0.1234
1995,12,2,1668,1.4085
1995,12,3,2134,0.7243
1995,12,4,2176,1.1079
1995,12,5,1940,1.0885
1995,12,6,1415,1.4951
1995,12,7,682,0.4730
1996,1,1,1120,2.6751
1996,1,2,1524,1.0754
